 set([12]) => set([16]) , (sup = 332162),(conf = 0.9781035224)
 set([16]) => set([12]) , (sup = 332162),(conf = 0.999250927316)
 set([12]) => set([17]) , (sup = 339566),(conf = 0.999905770941)
 set([17]) => set([12]) , (sup = 339566),(conf = 0.998288980091)
 set([12]) => set([18]) , (sup = 338918),(conf = 0.997997632495)
 set([18]) => set([12]) , (sup = 338918),(conf = 0.999486864922)
 set([21]) => set([12]) , (sup = 301936),(conf = 0.998323651068)
 set([12]) => set([21]) , (sup = 301936),(conf = 0.889098286798)
 set([12]) => set([27]) , (sup = 283577),(conf = 0.835037308818)
 set([27]) => set([12]) , (sup = 283577),(conf = 0.998394552746)
 set([29]) => set([12]) , (sup = 298677),(conf = 0.998292043799)
 set([12]) => set([29]) , (sup = 298677),(conf = 0.879501646064)
 set([31]) => set([12]) , (sup = 317533),(conf = 0.998493767531)
 set([12]) => set([31]) , (sup = 317533),(conf = 0.935026119117)
 set([12]) => set([43]) , (sup = 290896),(conf = 0.856589261421)
 set([43]) => set([12]) , (sup = 290896),(conf = 0.99828754783)
 set([17]) => set([16]) , (sup = 332379),(conf = 0.977159942143)
 set([16]) => set([17]) , (sup = 332379),(conf = 0.999903733631)
 set([18]) => set([16]) , (sup = 331645),(conf = 0.978038408456)
 set([16]) => set([18]) , (sup = 331645),(conf = 0.997695623791)
 set([21]) => set([16]) , (sup = 295348),(conf = 0.976541034178)
 set([16]) => set([21]) , (sup = 295348),(conf = 0.88850248638)
 set([29]) => set([16]) , (sup = 291955),(conf = 0.975824565156)
 set([16]) => set([29]) , (sup = 291955),(conf = 0.878295242937)
 set([31]) => set([16]) , (sup = 312201),(conf = 0.981727104638)
 set([16]) => set([31]) , (sup = 312201),(conf = 0.939201771301)
 set([43]) => set([16]) , (sup = 285217),(conf = 0.978798538067)
 set([16]) => set([43]) , (sup = 285217),(conf = 0.858025155606)
 set([18]) => set([17]) , (sup = 339060),(conf = 0.99990563033)
 set([17]) => set([18]) , (sup = 339060),(conf = 0.996801392335)
 set([21]) => set([17]) , (sup = 302412),(conf = 0.999897501347)
 set([17]) => set([21]) , (sup = 302412),(conf = 0.889060056211)
 set([27]) => set([17]) , (sup = 284005),(conf = 0.999901419905)
 set([17]) => set([27]) , (sup = 284005),(conf = 0.834945376718)
 set([29]) => set([17]) , (sup = 299156),(conf = 0.999893043839)
 set([17]) => set([29]) , (sup = 299156),(conf = 0.87948775239)
 set([31]) => set([17]) , (sup = 317985),(conf = 0.999915097543)
 set([17]) => set([31]) , (sup = 317985),(conf = 0.934843068311)
 set([43]) => set([17]) , (sup = 291363),(conf = 0.999890183428)
 set([17]) => set([43]) , (sup = 291363),(conf = 0.856577137011)
 set([21]) => set([18]) , (sup = 301475),(conf = 0.996799396911)
 set([18]) => set([21]) , (sup = 301475),(conf = 0.889065504347)
 set([27]) => set([18]) , (sup = 283183),(conf = 0.997007389986)
 set([18]) => set([27]) , (sup = 283183),(conf = 0.835121441969)
 set([29]) => set([18]) , (sup = 298194),(conf = 0.996677674238)
 set([18]) => set([29]) , (sup = 298194),(conf = 0.879389664162)
 set([31]) => set([18]) , (sup = 317100),(conf = 0.997132183691)
 set([18]) => set([31]) , (sup = 317100),(conf = 0.935144444576)
 set([43]) => set([18]) , (sup = 290490),(conf = 0.996894250073)
 set([18]) => set([43]) , (sup = 290490),(conf = 0.856670166209)
 set([31]) => set([21]) , (sup = 284151),(conf = 0.893522885929)
 set([21]) => set([31]) , (sup = 284151),(conf = 0.939519182127)
 set([31]) => set([29]) , (sup = 279678),(conf = 0.879457378967)
 set([29]) => set([31]) , (sup = 279678),(conf = 0.934790165381)
 set([12]) => set([16, 17]) , (sup = 332130),(conf = 0.978009293341)
 set([17]) => set([16, 12]) , (sup = 332130),(conf = 0.976427907852)
 set([16]) => set([17, 12]) , (sup = 332130),(conf = 0.999154660947)
 set([17, 12]) => set([16]) , (sup = 332130),(conf = 0.978101458921)
 set([16, 12]) => set([17]) , (sup = 332130),(conf = 0.999903661466)
 set([16, 17]) => set([12]) , (sup = 332130),(conf = 0.999250855198)
 set([12]) => set([16, 18]) , (sup = 331487),(conf = 0.976115878185)
 set([18]) => set([16, 12]) , (sup = 331487),(conf = 0.977572458212)
 set([16]) => set([18, 12]) , (sup = 331487),(conf = 0.997220308594)
 set([18, 12]) => set([16]) , (sup = 331487),(conf = 0.978074342466)
 set([16, 12]) => set([18]) , (sup = 331487),(conf = 0.997967859057)
 set([16, 18]) => set([12]) , (sup = 331487),(conf = 0.999523586968)
 set([21]) => set([16, 12]) , (sup = 295131),(conf = 0.97582354361)
 set([12]) => set([16, 21]) , (sup = 295131),(conf = 0.869059888456)
 set([16]) => set([12, 21]) , (sup = 295131),(conf = 0.887849680065)
 set([12, 21]) => set([16]) , (sup = 295131),(conf = 0.977462111176)
 set([16, 21]) => set([12]) , (sup = 295131),(conf = 0.999265273508)
 set([16, 12]) => set([21]) , (sup = 295131),(conf = 0.888515242562)
 set([29]) => set([16, 12]) , (sup = 291735),(conf = 0.975089241547)
 set([12]) => set([16, 29]) , (sup = 291735),(conf = 0.859059829563)
 set([16]) => set([12, 29]) , (sup = 291735),(conf = 0.87763341165)
 set([12, 29]) => set([16]) , (sup = 291735),(conf = 0.976757500578)
 set([16, 29]) => set([12]) , (sup = 291735),(conf = 0.999246459215)
 set([16, 12]) => set([29]) , (sup = 291735),(conf = 0.878291315683)
 set([31]) => set([16, 12]) , (sup = 312006),(conf = 0.981113920229)
 set([12]) => set([16, 31]) , (sup = 312006),(conf = 0.918750993822)
 set([16]) => set([12, 31]) , (sup = 312006),(conf = 0.938615148115)
 set([12, 31]) => set([16]) , (sup = 312006),(conf = 0.982593935119)
 set([16, 31]) => set([12]) , (sup = 312006),(conf = 0.999375402385)
 set([16, 12]) => set([31]) , (sup = 312006),(conf = 0.939318766144)
 set([12]) => set([16, 43]) , (sup = 285001),(conf = 0.839230501946)
 set([43]) => set([16, 12]) , (sup = 285001),(conf = 0.978057276206)
 set([16]) => set([43, 12]) , (sup = 285001),(conf = 0.857375357615)
 set([43, 12]) => set([16]) , (sup = 285001),(conf = 0.979735025576)
 set([16, 12]) => set([43]) , (sup = 285001),(conf = 0.858018075517)
 set([16, 43]) => set([12]) , (sup = 285001),(conf = 0.999242681888)
 set([12]) => set([17, 18]) , (sup = 338886),(conf = 0.997903403436)
 set([18]) => set([17, 12]) , (sup = 338886),(conf = 0.999392495252)
 set([17]) => set([18, 12]) , (sup = 338886),(conf = 0.9962898503)
 set([18, 12]) => set([17]) , (sup = 338886),(conf = 0.999905581881)
 set([17, 12]) => set([18]) , (sup = 338886),(conf = 0.997997443796)
 set([17, 18]) => set([12]) , (sup = 338886),(conf = 0.999486816493)
 set([21]) => set([17, 12]) , (sup = 301905),(conf = 0.998221152415)
 set([12]) => set([17, 21]) , (sup = 301905),(conf = 0.889007002397)
 set([17]) => set([12, 21]) , (sup = 301905),(conf = 0.887569528558)
 set([12, 21]) => set([17]) , (sup = 301905),(conf = 0.999897329235)
 set([17, 21]) => set([12]) , (sup = 301905),(conf = 0.998323479227)
 set([17, 12]) => set([21]) , (sup = 301905),(conf = 0.889090780585)
 set([12]) => set([17, 27]) , (sup = 283549),(conf = 0.834954858391)
